column,class
SITE_ID,character
year,integer
uWUE,numeric
ETmax,numeric
precipAvail,character
Gavail,character
GSmax,numeric
CO2avail,character
G1,numeric
EF,numeric
EFampl,numeric
GPPsat,numeric
NEPmax,numeric
Rb,numeric
Rbmax,numeric
aCUE,numeric
TZ,integer
nyears,integer
LOCATION_LAT,numeric
LOCATION_LONG,numeric
LOCATION_ELEV,numeric
IGBP,character
P_mean_m01,numeric
P_mean_m02,numeric
P_mean_m03,numeric
P_mean_m04,numeric
P_mean_m05,numeric
P_mean_m06,numeric
P_mean_m07,numeric
P_mean_m08,numeric
P_mean_m09,numeric
P_mean_m10,numeric
P_mean_m11,numeric
P_mean_m12,numeric
P_q10_m01,numeric
P_q10_m02,integer
P_q10_m03,numeric
P_q10_m04,integer
P_q10_m05,numeric
P_q10_m06,numeric
P_q10_m07,integer
P_q10_m08,numeric
P_q10_m09,numeric
P_q10_m10,numeric
P_q10_m11,numeric
P_q10_m12,numeric
P_q90_m01,numeric
P_q90_m02,numeric
P_q90_m03,numeric
P_q90_m04,numeric
P_q90_m05,numeric
P_q90_m06,numeric
P_q90_m07,numeric
P_q90_m08,numeric
P_q90_m09,numeric
P_q90_m10,numeric
P_q90_m11,numeric
P_q90_m12,numeric
SW_mean_m01,numeric
SW_mean_m02,numeric
SW_mean_m03,numeric
SW_mean_m04,numeric
SW_mean_m05,numeric
SW_mean_m06,numeric
SW_mean_m07,numeric
SW_mean_m08,numeric
SW_mean_m09,numeric
SW_mean_m10,numeric
SW_mean_m11,numeric
SW_mean_m12,numeric
SW_q10_m01,numeric
SW_q10_m02,numeric
SW_q10_m03,numeric
SW_q10_m04,numeric
SW_q10_m05,numeric
SW_q10_m06,numeric
SW_q10_m07,numeric
SW_q10_m08,numeric
SW_q10_m09,numeric
SW_q10_m10,numeric
SW_q10_m11,numeric
SW_q10_m12,numeric
SW_q90_m01,numeric
SW_q90_m02,numeric
SW_q90_m03,numeric
SW_q90_m04,numeric
SW_q90_m05,numeric
SW_q90_m06,numeric
SW_q90_m07,numeric
SW_q90_m08,numeric
SW_q90_m09,numeric
SW_q90_m10,numeric
SW_q90_m11,numeric
SW_q90_m12,numeric
TA_mean_m01,numeric
TA_mean_m02,numeric
TA_mean_m03,numeric
TA_mean_m04,numeric
TA_mean_m05,numeric
TA_mean_m06,numeric
TA_mean_m07,numeric
TA_mean_m08,numeric
TA_mean_m09,numeric
TA_mean_m10,numeric
TA_mean_m11,numeric
TA_mean_m12,numeric
TA_q10_m01,numeric
TA_q10_m02,numeric
TA_q10_m03,numeric
TA_q10_m04,numeric
TA_q10_m05,numeric
TA_q10_m06,numeric
TA_q10_m07,numeric
TA_q10_m08,numeric
TA_q10_m09,numeric
TA_q10_m10,numeric
TA_q10_m11,numeric
TA_q10_m12,numeric
TA_q90_m01,numeric
TA_q90_m02,numeric
TA_q90_m03,numeric
TA_q90_m04,numeric
TA_q90_m05,numeric
TA_q90_m06,numeric
TA_q90_m07,numeric
TA_q90_m08,numeric
TA_q90_m09,numeric
TA_q90_m10,numeric
TA_q90_m11,numeric
TA_q90_m12,numeric
VPD_mean_m01,numeric
VPD_mean_m02,numeric
VPD_mean_m03,numeric
VPD_mean_m04,numeric
VPD_mean_m05,numeric
VPD_mean_m06,numeric
VPD_mean_m07,numeric
VPD_mean_m08,numeric
VPD_mean_m09,numeric
VPD_mean_m10,numeric
VPD_mean_m11,numeric
VPD_mean_m12,numeric
VPD_q10_m01,numeric
VPD_q10_m02,numeric
VPD_q10_m03,numeric
VPD_q10_m04,numeric
VPD_q10_m05,numeric
VPD_q10_m06,numeric
VPD_q10_m07,numeric
VPD_q10_m08,numeric
VPD_q10_m09,numeric
VPD_q10_m10,numeric
VPD_q10_m11,numeric
VPD_q10_m12,numeric
VPD_q90_m01,numeric
VPD_q90_m02,numeric
VPD_q90_m03,numeric
VPD_q90_m04,numeric
VPD_q90_m05,numeric
VPD_q90_m06,numeric
VPD_q90_m07,numeric
VPD_q90_m08,numeric
VPD_q90_m09,numeric
VPD_q90_m10,numeric
VPD_q90_m11,numeric
VPD_q90_m12,numeric
gsmax_mean,numeric
P12_mean,numeric
P50_mean,numeric
P88_mean,numeric
rdmax_mean,numeric
WUE_mean,numeric
Leaf C,numeric
Leaf N (mass),numeric
Leaf width,numeric
Leaf C/N ratio,numeric
Leaf P,numeric
Stem conduit density,numeric
Stem conduit diameter,numeric
Leaf area (3112),numeric
Leaf area,numeric
Leaf area (3114),numeric
SLA,numeric
SSD,numeric
Leaf thickness,numeric
Leaf N (area),numeric
Leaf dry mass,numeric
Rooting depth,numeric
Leaf delta 15N,numeric
forest_mean_pct_500m.x,numeric
deadwood_mean_pct_500m,numeric
loss_area_frac_500m,numeric
loss_mean_pp_500m,numeric
loss_sum_pp_500m,numeric
